"","individualID","namedLocation","plotID","date.x","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","basalStemDiameter","subplotID","taxonID","scientificName","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty"
"823","NEON.PLA.D19.DEJU.02947","DEJU_046.basePlot.vst","DEJU_046",2021-08-25,"single bole tree","Live, physically damaged",11.8,132,"noChange",3,2.1,2,"Full sun",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7083976.03833396,561224.048733073,0.7,63.8776289359936,-145.753673247071,"512.95",1.1
"87","NEON.PLA.D19.DEJU.00129","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Dead, broken bole",10.4,135,"noChange",2.8,NA,NA,"Mostly shaded",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084055.28025133,561069.796922536,0.7,63.8783668990692,-145.756781009046,"512.32",1.1
"442","NEON.PLA.D19.DEJU.00714","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Dead, broken bole",11.9,140,"noChange",2.8,NA,NA,"Partially shaded",NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084422.84514482,560724.694100857,0.7,63.8817248825884,-145.76365945709,"511.05",1.1
"478","NEON.PLA.D19.DEJU.00752","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Dead, broken bole",11.9,141,"noChange",2.8,NA,NA,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084363.18037033,561220.21433129,0.8,63.8811030653628,-145.753597368596,"506.96",1.1
"537","NEON.PLA.D19.DEJU.00828","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Dead, broken bole",10.2,120,"noChange",2.8,NA,NA,"Partially shaded",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084393.52903997,561229.210109189,0.72,63.8813737781866,-145.75340220376,"506.13",1.11
"544","NEON.PLA.D19.DEJU.00835","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Dead, broken bole",12.6,140,"noChange",2.6,NA,NA,"Partially shaded",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084380.62106892,561226.230564599,0.7,63.8812584895807,-145.753467981595,"506.78",1.1
"534","NEON.PLA.D19.DEJU.00825","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Dead, broken bole",10.7,130,"noChange",2.3,NA,NA,"Partially shaded",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084394.99088056,561223.792477001,0.72,63.8813878435618,-145.753511891461,"506.13",1.11
"772","NEON.PLA.D19.DEJU.02737","DEJU_054.basePlot.vst","DEJU_054",2021-08-25,"single bole tree","Dead, broken bole",10.8,130,"noChange",2.1,NA,NA,"Partially shaded",NA,"41","POTR5","Populus tremuloides Michx.","6N",7084033.55558473,560860.987854494,0.7,63.8782084256517,-145.761039194145,"514.53",1.1
"831","NEON.PLA.D19.DEJU.02957","DEJU_046.basePlot.vst","DEJU_046",2021-08-25,"single bole tree","Dead, broken bole",14.6,136,"noChange",1.9,NA,NA,"Open grown",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7083976.26688962,561213.49685064,0.7,63.8776328357422,-145.753887897787,"512.33",1.1
"6","NEON.PLA.D19.DEJU.00007","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Dead, broken bole",12.3,130,"noChange",1.7,NA,NA,"Mostly shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084033.18987814,561062.745793991,0.7,63.8781699354974,-145.756933269536,"512.33",1.1
